interval_id,p01i,tmpf,dwpf,relh,drct,sknt,alti,mslp,vsby,next_p01i
3629,0.02,66.92,66.02,96.93,0.0,0.0,29.76,1007.5,2.5,0.08
3630,0.08,66.38000000000001,66.155,99.2325,135.0,2.5,29.7675,1007.7,2.125,0.24
3668,0.0,73.94,57.02,55.49,90.0,7.0,29.6,1001.9,10.0,0.1
3669,0.1,68.17999999999999,59.045,73.12,175.0,7.75,29.6225,1002.8,2.75,0.09
3690,0.0,69.08,57.92,67.59,30.0,5.0,29.72,1006.3,10.0,0.06
3718,0.01,66.92,60.08,78.66,120.0,3.0,29.73,1006.6,8.0,0.03
3719,0.03,66.02,60.98,83.79,0.0,0.0,29.71,1005.7,10.0,0.05
3720,0.05,64.67,62.78,93.59,0.0,0.0,29.7,1005.5,8.5,0.15
3721,0.15,64.28000000000002,63.080000000000005,95.92,136.66666666666666,2.6666666666666665,29.703333333333333,1005.1,3.1666666666666665,0.11
3722,0.11,64.83200000000001,62.888,93.416,212.0,9.2,29.666000000000004,1004.5,10.0,0.29
3746,0.01,59.0,55.94,89.57,60.0,8.0,29.62,1002.7,10.0,0.15
3747,0.15,57.92,55.94,93.1,90.0,13.0,29.55,1000.2,10.0,0.41
3748,0.41,57.02,55.94,96.17,110.0,10.0,29.52,999.3,7.0,0.23
3749,0.23,57.14000000000001,55.580000000000005,94.51666666666668,53.333333333333336,12.333333333333334,29.47666666666667,997.5,5.333333333333333,0.16
3750,0.16,57.02,55.94,96.17,80.0,12.0,29.38,994.5,4.0,0.59
3751,0.59,57.11,55.67,94.93,50.0,10.5,29.365,994.6,1.75,0.05
3753,0.01,57.56,57.11,98.405,35.0,12.5,29.37,994.8,3.0,0.07
3826,0.0,55.94,50.0,80.4,150.0,9.0,29.94,1013.9,8.0,0.02
3827,0.02,54.92,51.56,88.41666666666667,120.0,9.0,29.93,1013.5,1.75,0.09
3828,0.09,53.72,51.85999999999999,93.39666666666666,126.66666666666669,11.666666666666666,29.883333333333336,1011.7,4.333333333333333,0.05
3907,0.0,64.22,60.89,88.935,30.0,6.5,29.93,1013.2,10.0,0.06
3908,0.06,63.68000000000001,61.43,92.485,20.0,5.5,29.935,1013.8,6.0,0.02
3990,0.0,64.04,53.96,69.72,130.0,7.0,29.94,1013.7,10.0,0.02
3991,0.02,64.22,57.56,78.97,60.0,2.5,29.945,1014.0,5.5,0.62
3992,0.62,62.35999999999999,61.01,95.42333333333332,96.66666666666669,3.8333333333333335,29.951666666666668,1013.7,2.2916666666666665,0.03
3995,0.0,78.08,69.08,73.88,200.0,14.0,29.83,1009.8,10.0,0.27
4137,0.0,73.94,62.96,68.57,180.0,6.0,30.03,1016.5,10.0,0.12
4138,0.12,69.56,64.94,85.31333333333333,210.0,5.0,30.03,1017.0,4.0,0.02
4142,0.0,77.0,69.98,78.96,130.0,6.0,29.92,1012.9,10.0,0.1
4143,0.1,73.88000000000001,68.96,84.75333333333334,206.66666666666663,8.666666666666666,29.92,1012.8,2.4166666666666665,0.13
4144,0.13,72.86,71.01499999999999,93.945,222.5,5.75,29.9075,1012.6,2.625,0.14
4147,0.0,75.02,69.08,81.79,250.0,9.0,29.9,1012.3,10.0,0.04
4188,0.0,77.53999999999999,67.1,70.25999999999999,265.0,14.5,29.76,1007.3,10.0,0.16
4189,0.16,73.16,66.32000000000001,79.185,266.6666666666667,9.333333333333334,29.76,1007.4,1.5833333333333333,0.02
4236,0.01,68.0,62.06,81.29,220.0,6.0,29.93,1013.5,6.0,0.04
4237,0.04,66.44,62.72,87.82000000000001,133.33333333333334,2.6666666666666665,29.916666666666668,1012.3,5.666666666666667,0.06
4268,0.01,75.02,71.96,90.22,130.0,4.0,29.56,1000.6,4.0,0.08
4269,0.08,74.18,71.71999999999998,92.07666666666668,153.33333333333334,4.666666666666667,29.55,1000.3,4.166666666666667,0.02
4270,0.02,73.22,70.78999999999999,92.12,330.0,6.0,29.55,1000.0,6.5,0.34
4271,0.34,71.49199999999999,69.65599999999999,93.942,60.0,3.8,29.524,998.7,1.7,0.27
4284,0.0,77.0,69.08,76.57,270.0,13.0,29.57,1001.0,10.0,0.02
4288,0.0,78.98,69.08,71.72,260.0,11.0,29.57,1001.0,10.0,0.02
4291,0.0,77.0,68.0,73.78,280.0,10.0,29.61,1002.4,10.0,0.04
4548,0.0,80.06,71.06,74.07,10.0,11.0,29.85,1010.5,6.0,0.26
4549,0.26,75.28999999999999,70.565,85.71249999999999,330.0,12.25,29.8575,1011.0,3.5625,0.17
4550,0.17,72.68,71.06,94.74666666666668,130.0,11.0,29.846666666666668,1010.0,4.916666666666667,0.34
4551,0.34,71.42,69.86,94.83666666666666,213.3333333333333,8.0,29.856666666666666,1011.4,1.8333333333333333,0.32
4552,0.32,70.55600000000001,68.504,93.232,324.0,8.2,29.854,1010.5,3.8,0.11
4553,0.11,69.89,68.0,93.725,130.0,2.0,29.845,1010.2,6.5,0.04
4559,0.0,69.08,68.0,96.36,230.0,4.0,29.89,1011.8,9.0,0.02
4645,0.0,81.68,69.89,67.53,270.0,6.5,29.85,1010.6,10.0,0.07
4646,0.07,72.32,69.44,90.735,160.0,5.5,29.875,1011.2,3.0,0.02
4713,0.0,75.92,69.98,81.85,210.0,13.0,29.87,1011.0,6.0,0.04
4836,0.0,80.06,68.0,66.7,290.0,5.0,29.89,1011.7,10.0,1.21
4837,1.21,69.02857142857142,66.17428571428572,90.73714285714289,246.66666666666663,11.857142857142858,29.90428571428572,1012.3,2.392857142857143,0.18
4838,0.18,68.0,66.92,96.34,240.0,11.0,29.89,1011.8,3.0,0.29
4839,0.29,68.0,64.86800000000001,89.738,244.0,10.6,29.87,1011.3,4.2,0.2
4876,0.01,68.0,64.04,87.16,160.0,7.0,29.94,1013.4,10.0,0.09
4877,0.09,66.02,62.06,87.05,140.0,9.0,29.92,1012.9,4.0,0.37
4878,0.37,64.508,63.248000000000005,95.708,156.0,8.2,29.908,1012.3,2.25,0.2
4880,0.0,68.0,66.02,93.38,170.0,6.0,29.83,1009.9,3.0,0.07
4881,0.07,70.22,67.16000000000001,90.05,206.66666666666663,7.666666666666667,29.816666666666663,1009.3,2.833333333333333,0.09
4882,0.09,72.08,70.22,94.06,215.0,10.5,29.81,1009.2,1.8333333333333333,0.16
4883,0.16,74.24000000000001,72.38,93.93,226.66666666666663,9.666666666666666,29.8,1008.5,2.833333333333333,0.02
4884,0.02,79.196,75.34400000000001,88.056,252.0,14.6,29.806,1008.9,3.4,0.21
4912,0.01,80.71999999999998,73.28000000000002,78.14,146.66666666666666,2.333333333333333,29.796666666666667,1008.2,6.666666666666667,0.53
4913,0.53,76.96999999999998,73.19000000000001,88.50999999999999,213.3333333333333,4.833333333333333,29.790000000000003,1008.7,1.4583333333333333,0.42
4914,0.42,73.50800000000001,73.328,99.404,134.0,2.2,29.784,1008.2,2.7,0.06
4925,0.0,69.44,66.56,90.585,245.0,5.5,29.88,1011.7,10.0,0.02
5010,0.0,80.96,71.96,74.15,250.0,11.0,29.85,1010.6,9.0,0.09
5011,0.09,77.0,73.94,90.29,250.0,14.0,29.84,1010.0,3.0,0.04
5128,0.0,82.04,64.94,56.24,200.0,3.0,30.01,1015.8,10.0,0.02
5189,0.0,73.94,71.96,93.54,220.0,3.0,29.68,1004.6,4.0,0.38
5190,0.38,72.59,71.015,94.8125,240.0,4.0,29.69,1005.0,2.4375,0.03
5297,0.23,72.26,68.60000000000001,88.39666666666666,320.0,10.333333333333334,29.96666666666667,1014.8,2.6666666666666665,0.21
5298,0.21,69.08,66.92,92.83,270.0,5.0,29.98,1014.8,2.0,0.05
5433,0.0,71.06,66.02,84.1,210.0,10.0,29.91,1012.4,9.0,0.05
5434,0.05,69.8,67.1,91.175,205.0,7.0,29.91,18.705,7.5,0.03
5435,0.03,70.46,68.60000000000001,93.95666666666666,196.66666666666663,5.666666666666667,29.91,1012.6,6.333333333333333,0.04
5450,0.0,75.11,70.43,85.41,230.0,13.0,29.8,1009.2,8.5,0.09
5451,0.09,70.15999999999998,64.94,83.86333333333334,233.3333333333333,9.0,29.80666666666667,1009.2,6.0,0.17
5594,0.0,71.06,64.94,81.0,0.0,0.0,29.88,1011.3,10.0,0.04
5595,0.04,69.08,66.02,89.98,80.0,4.0,29.86,1010.8,5.0,0.11
5596,0.11,69.08,66.92,92.83,80.0,5.0,29.85,1010.3,5.0,0.11
5597,0.11,69.08,66.92,92.83,70.0,6.0,29.85,1010.4,3.0,0.09
5598,0.09,68.9,66.2,91.155,85.0,8.0,29.85,15.925,2.0,0.24
