Source,Normalization,Layers,Random State,R^2,MSE,RMSE,Pearson Corr,Runtime
ROC,ZScore,2,42,-11.941596145243139,0.15224572789258256,0.3901867859020633,-0.22097661817983263,8.09375
ROC,ZScore,3,None,-0.7934372780355581,0.02047934837949126,0.14310607387351265,-0.032203594289484404,8.921875
ROC,ZScore,3,0,-10.744303751314085,0.11805796115391158,0.3435956361101107,-0.05486186191452239,8.796875
ROC,ZScore,3,42,-3.358661570732246,0.05127556106883066,0.2264410763727082,0.019009850046633487,8.640625
ROC,ZScore,4,None,-0.24049332460368533,0.010687760525361915,0.10338162566608206,0.14102016645348148,9.421875
ROC,ZScore,4,0,-2.1216616488357642,0.03138006453832328,0.17714419137618734,0.18515666115052232,9.34375
ROC,ZScore,4,42,-2.879486605913761,0.04563851750110137,0.21363173336632685,0.14989618702943236,9.609375
ROC,ZScore,5,None,-0.49136917544368175,0.016811177719554087,0.12965792578764357,-0.10591700456090468,9.921875
ROC,ZScore,5,0,-0.33520956153202075,0.013422006266658503,0.11585338262933242,0.048535478686403906,10.359375
ROC,ZScore,5,42,-2.9713088718609826,0.04671872024881418,0.2161451370001513,0.19220794995488016,10.375
ROC+BUF+SYR+ALB,MinMax,10,None,0.0020579876896902327,0.008214090528470629,0.09063161991529572,0.05852290868775104,24.453125
ROC+BUF+SYR+ALB,MinMax,10,0,0.002419766371488108,0.010028034948980878,0.10014007663758241,0.12579026760106643,22.703125
ROC+BUF+SYR+ALB,MinMax,10,42,0.004760744262310657,0.011708055421954288,0.1082037680580223,0.15581521545954075,23.984375
ROC+BUF+SYR+ALB,MinMax,20,None,-1.0366826599605972e-05,0.00879242323678535,0.09376792221642405,-0.008983519166563023,28.15625
ROC+BUF+SYR+ALB,MinMax,20,0,-0.0006100460643709837,0.010058491712228019,0.10029203214726491,0.15954548073979474,30.5
ROC+BUF+SYR+ALB,MinMax,20,42,-0.01599225778889335,0.011952195006266932,0.10932609480936806,0.07773861549279193,29.8125
ROC+BUF+SYR+ALB,MinMax,30,None,-0.005401304952226349,0.010417734560069504,0.10206730406976322,0.047318853304202664,35.703125
ROC+BUF+SYR+ALB,MinMax,30,0,9.930593624762896e-05,0.01005136105104054,0.10025647635460036,0.21728879849810429,37.171875
ROC+BUF+SYR+ALB,MinMax,30,42,-0.009941579287443991,0.011881014454628736,0.10900006630561623,0.1368503353420823,36.703125
ROC+BUF+SYR+ALB,None,10,None,-1.2057036358570468,0.023428819575223823,0.1530647561498852,0.026168194860273986,22.96875
ROC+BUF+SYR+ALB,None,10,0,-2.655064133179685,0.03674201796779145,0.1916820752386395,-0.03385944108150128,22.875
ROC+BUF+SYR+ALB,None,10,42,-0.2599287869486453,0.014821879241867756,0.1217451405267075,0.01269190954883578,22.5
ROC+BUF+SYR+ALB,None,20,None,0.0044240664655013084,0.008376321623823731,0.09152224660607787,0.06926698614581575,30.046875
ROC+BUF+SYR+ALB,None,20,0,0.006163230080928339,0.009990404306709666,0.09995201001835664,0.09706849951725342,30.8125
ROC+BUF+SYR+ALB,None,20,42,-0.0013071018490316,0.011779437934404348,0.1085331190669666,0.02445299312606581,29.6875
ROC+BUF+SYR+ALB,None,30,None,-0.00017278014402410946,0.009235763545239811,0.09610288000491875,0.021376961490113706,36.6875
ROC+BUF+SYR+ALB,None,30,0,-0.0006226949795806735,0.01005861886366859,0.10029266605125517,0.00538168038028679,35.859375
ROC+BUF+SYR+ALB,None,30,42,-0.00019070966056111693,0.011766304628478266,0.10847259851445555,0.0564548123765199,36.609375
ROC+BUF+SYR+ALB,ZScore,10,None,-0.30119234763797786,0.014228649586517561,0.11928390330014173,0.05728844240736354,22.6875
ROC+BUF+SYR+ALB,ZScore,10,0,0.01770934484024811,0.009874338612514565,0.09936970671444374,0.14707165180101522,22.421875
ROC+BUF+SYR+ALB,ZScore,10,42,-0.0715995413588304,0.012606362488254549,0.11227805880159555,-0.17365102551621828,22.375
ROC+BUF+SYR+ALB,ZScore,20,None,0.013033402293932905,0.008358794362420792,0.09142644235898492,0.23635768202824886,30.5
ROC+BUF+SYR+ALB,ZScore,20,0,0.0011189777156530578,0.010041110943935696,0.10020534388911449,0.06984494552836455,29.9375
ROC+BUF+SYR+ALB,ZScore,20,42,0.0006348183369022653,0.01175659306666943,0.10842782422731459,0.1783564388107805,32.9375
ROC+BUF+SYR+ALB,ZScore,30,None,-0.0025679528934583473,0.013040891918893937,0.11419672464170738,0.13960838686252663,37.03125
ROC+BUF+SYR+ALB,ZScore,30,0,-0.00023005657327068718,0.01005467192132946,0.10027298699714425,0.1201848847768825,36.4375
ROC+BUF+SYR+ALB,ZScore,30,42,-5.098536536651821e-05,0.011764660903331272,0.10846502156608495,0.2905401265174069,37.75
ROC,MinMax,10,None,-0.0030242716146862136,0.01004414654350347,0.10022048963911256,-0.021791326444909657,14.03125
ROC,MinMax,10,0,-0.0287341266572414,0.010341205075610763,0.1016917158652108,0.10003628851822664,14.875
ROC,MinMax,10,42,-0.004633669496695303,0.011818571879492616,0.10871325530721916,-0.13018935379713356,14.4375
ROC,MinMax,20,None,0.0023791502864207725,0.006835547026245773,0.08267736707373895,0.158744944995962,21.71875
ROC,MinMax,20,0,-0.030831341756617947,0.01036228703534004,0.10179531931940702,0.14702056201017316,20.9375
ROC,MinMax,20,42,-0.00021560057858427406,0.011766597446758934,0.10847394823992963,-0.025985507458839697,21.4375
ROC,MinMax,30,None,-0.00269421871958353,0.008823918369723913,0.09393571402679554,0.04483693684940559,28.71875
ROC,MinMax,30,0,-1.690868157999681e-05,0.010052529282136017,0.10026230239794026,-0.08825436126272633,29.140625
ROC,MinMax,30,42,-0.0013449841229600246,0.011779883583789766,0.10853517210466737,0.17664817448572515,28.53125
ROC,None,10,None,-18.71799666622557,0.1535026726177266,0.3917941712401125,-0.05435317805670148,14.5625
